ID,Up/Co,Sex,Friend,Source,Country,Age,Occupation,Marriage,Post_Type,Time
N-17,Up,F,A,Church,USA,60,Servant,M,Church,4/25/2020
N-17,Up,F,A,Church,USA,60,Servant,M,Life,7/16/2021
N-17,Up,F,A,Church,USA,60,Servant,M,Church,2/27/2020
N-17,Up,F,A,Church,USA,60,Servant,M,Life,7/1/2021
N-17,Up,F,A,Church,USA,60,Servant,M,Life,12/1/2020
N-17,Up,F,A,Church,USA,60,Servant,M,Life,10/31/2020
N-17,Up,F,A,Church,USA,60,Servant,M,Church,7/12/2020
N-17,Up,F,A,Church,USA,60,Servant,M,Church,7/12/2020
N-17,Co,F,A,Church,USA,60,Servant,M,Life,2/28/2021
N-17,Up,F,A,Church,USA,60,Servant,M,Church,10/12/2020
N-248,Up,M,N,Other,USA,60,NA,M,Life,7/21/2021
N-103,Up,M,A,Alumni,China,33,NA,M,Life,12/7/2019
N-103,Up,M,A,Alumni,China,33,NA,M,Life,10/31/2020
N-190,Up,M,N,Church,Taiwan,50,Servant,S,Life,3/6/2020
N-163,Up,F,A,Alumni,USA,35,Reseacher,M,Life,10/26/2019
N-163,Up,F,A,Alumni,USA,35,Reseacher,M,Life,5/10/2020
N-123,Up,M,N,Alumni,USA,30,NA,M,Church,10/12/2020
N-123,Up,M,N,Alumni,USA,30,NA,M,Life,5/10/2020
N-215,Up,M,A,Church,USA,30,Engineer,M,Life,12/7/2019
N-95,Up,F,A,Church,UK,30,Finance,S,Life,10/31/2020
N-95,Up,F,A,Church,UK,30,Finance,S,Life,10/26/2019
N-81,Up,M,N,Church,USA,35,NA,M,Church,4/25/2020
N-81,Co,M,N,Church,USA,35,NA,M,Life,6/9/2020
N-81,Up,M,N,Church,USA,35,NA,M,Life,10/31/2020
